time-ns,LogName,queueDelay,queueDelayMax,queueDelayMinAvg,sRtt,cwnd,bytesInFlightLog,rateTransmitted,isInFastStart,curMss,rtpQueueDelay,bytes,size,targetBitrate,rateRtp,packetsRtp,rateTransmittedStream,rateAcked,rateLost,rateCe,packetsCe,hiSeqTx,hiSeqAck,SeqDiff,packetetsRtpCleared,packetsLost,rtpqueue_full,force_idr,rate_updates
58762322096928,
58763323245676,
58764324094068,
58765325167048,
58766326086568,
58767327094193,
58768328151407,
58769329114461,
58770330178699,
58771330473768, Log, 0.000, 0.000, 0.000, 0.050,  25000,   5452,      0, 0, 0,0.000, 0,0,  3515,      0, 47,      0,      0,     0,     0, 0,  2820,  2820, 0, 0,0,0,0,2
58772331223788, Log, 0.000, 0.000, 0.000, 0.022,  25000,   7961,    448, 0, 0,0.000, 0,0,  7946,    493, 158,    448,      0,     0,     0, 0,  2931,  2931, 0, 0,0,0,0,11
58773331296389, Log, 0.000, 0.000, 0.000, 0.006,  13835,  13341,    570, 0, 0,0.000, 0,0,  9000,    585, 310,    570,      0,     0,     0, 0,  3083,  3083, 0, 0,0,0,0,14
58774331762551, Log, 0.000, 0.000, 0.000, 0.002,  13441,  11015,    706, 0, 0,0.000, 0,0,  9000,    787, 459,    706,      0,     0,     0, 0,  3232,  3232, 0, 0,0,0,0,14
58775332127350, Log, 0.000, 0.000, 0.000, 0.001,  11066,  10234,    671, 0, 0,0.000, 0,0,  9000,    766, 592,    671,      0,     0,     0, 0,  3365,  3365, 0, 0,0,0,0,14
58776332238131, Log, 0.000, 0.000, 0.000, 0.000,  10251,   9893,    714, 0, 0,0.006, 0,0,  9000,    752, 740,    714,    860,     0,     0, 0,  3513,  3513, 0, 0,0,0,0,14
58777332646209, Log, 0.000, 0.000, 0.000, 0.000,  10338,  10441,    697, 0, 0,0.006, 0,0,  9000,    760, 891,    697,      0,     0,     0, 0,  3664,  3664, 0, 0,0,0,0,14
58778333116725, Log, 0.000, 0.001, 0.000, 0.000,  10459,  10220,    650, 0, 0,0.006, 0,0,  9000,    722, 1038,    650,      0,     0,     0, 0,  3811,  3811, 0, 0,0,0,0,14
58779333896768, Log, 0.000, 0.001, 0.000, 0.000,  10240,   9914,    678, 0, 0,0.006, 0,0,  9000,    773, 1185,    678,      0,     0,     0, 0,  3958,  3958, 0, 0,0,0,0,14
58780334102696, Log, 0.000, 0.001, 0.000, 0.000,   9922,   6113,    710, 0, 0,0.000, 6185,11,  9000,    795, 1349,    710,      0,     0,     0, 0,  4111,  4111, 0, 0,0,0,0,14
58781334660234, Log, 0.000, 0.001, 0.000, 0.000,  10098,  11104,    762, 0, 0,0.006, 0,0,  9000,    871, 1486,    762,      0,     0,     0, 0,  4259,  4259, 0, 0,0,0,0,14
58782335755676, Log, 0.000, 0.001, 0.000, 0.000,  10299,  11645,    918, 0, 0,0.006, 0,0,  9000,    931, 1636,    918,   1666,     0,     0, 0,  4409,  4409, 0, 0,0,0,0,14
