time-ns,LogName,queueDelay,queueDelayMax,queueDelayMinAvg,sRtt,cwnd,bytesInFlightLog,rateTransmitted,isInFastStart,curMss,rtpQueueDelay,bytes,size,targetBitrate,rateRtp,packetsRtp,rateTransmittedStream,rateAcked,rateLost,rateCe,packetsCe,hiSeqTx,hiSeqAck,SeqDiff,packetetsRtpCleared,packetsLost,rtpqueue_full,force_idr,rate_updates
35169707817633,
35170709119822,
35171710170463,
35172711134668,
35173712443094,
35174713121082,
35175714488999,
35176715099355,
35177716101422, Log, 0.000, 0.000, 0.000, 0.028, 187500,  37556,   1790, 0, 0,0.000, 0,0, 30000,      0, 205,   1790,      0,     0,     0, 0,  5742,  5742, 0, 0,0,0,0,4
35178717229905, Log, 0.001, 0.000, 0.000, 0.009,  93222,  91576,   3269, 0, 0,0.000, 0,0, 30000,   6172, 690,   3269,      0,     0,     0, 0,  6227,  6227, 0, 0,0,0,0,5
35179718082380, Log, 0.001, 0.000, 0.000, 0.002,  99079, 122258,   6583, 0, 0,0.000, 0,0, 30000,   4817, 1354,   6583,      0,     0,     0, 0,  6891,  6891, 0, 0,0,0,0,5
35180719098274, Log, 0.001, 0.001, 0.000, 0.001, 102772, 121069,  15537, 0, 0,0.000, 0,0, 30000,  14485, 2446,  15537,      0,     0,     0, 0,  7983,  7983, 0, 0,0,0,0,5
35181720092575, Log, 0.001, 0.002, 0.000, 0.001, 108746, 136550,  32099, 0, 0,0.000, 0,0, 30000,  55574, 4509,  32099,      0,     0,     0, 0, 10046, 10046, 0, 0,0,0,0,5
35182721125075, Log, 0.000, 0.002, 0.000, 0.001, 111060, 147702,  26155, 0, 0,0.014, 0,0, 30000,  40718, 5676,  26155,  16078,     0,     0, 0, 11213, 11213, 0, 0,0,0,0,5
35183722063602, Log, 0.000, 0.002, 0.000, 0.001, 111060,  41589,  29079, 0, 0,0.012, 0,0, 30000,  39681, 7159,  29079,  61792,     0,     0, 0, 12696, 12696, 0, 0,0,0,0,5
35184723091735, Log, 0.000, 0.001, 0.000, 0.001, 112683,  58162,   8427, 0, 0,0.014, 0,0, 30000,   4468, 8315,   8427,  12285,     0,     0, 0, 13852, 13852, 0, 0,0,0,0,5
35185724120165, Log, 0.000, 0.001, 0.000, 0.001,  58416,  39092,   4677, 0, 0,0.013, 163547,125, 30000,   5044, 9232,   4677,      0,     0,     0, 0, 14644, 14632, 12, 0,0,0,0,5
35186725106091, Log, 0.000, 0.003, 0.000, 0.001,  58426,  41857,   9401, 0, 0,0.014, 0,0, 30000,   4660, 10594,   9401,      0,     0,     0, 0, 16131, 16131, 0, 0,0,0,0,5
35187726206850, Log, 0.000, 0.002, 0.000, 0.000,  43633,  43557,  15033, 0, 0,0.014, 0,0, 30000,   4500, 12382,  15033,  16770,     0,     0, 0, 17919, 17919, 0, 0,0,0,0,5
35188727088846, Log, 0.000, 0.001, 0.000, 0.001,  43813,  41415,  13047, 0, 0,0.015, 0,0, 30000,   4739, 13702,  13047,  14375,     0,     0, 0, 19239, 19239, 0, 0,0,0,0,5
35189728147156, Log, 0.000, 0.001, 0.000, 0.001,  46389,  49467,  12451, 0, 0,0.016, 0,0, 30000,   4992, 15417,  12451,  19968,     0,     0, 0, 20954, 20954, 0, 0,0,0,0,5
35190729194853, Log, 0.000, 0.001, 0.000, 0.001,  49645,  40948,  12168, 0, 0,0.018, 0,0, 30000,   5312, 16710,  12168,  21248,     0,     0, 0, 22247, 22247, 0, 0,0,0,0,5
35191730112938, Log, 0.000, 0.001, 0.000, 0.001,  49723,  48039,   6837, 0, 0,0.018, 0,0, 30000,   4672, 17891,   6837,  11052,     0,     0, 0, 23428, 23428, 0, 0,0,0,0,5
35192731122726, Log, 0.000, 0.001, 0.000, 0.001,  48231,  45230,  16071, 0, 0,0.017, 0,0, 30000,   5047, 19830,  16071,   8176,     0,     0, 0, 25367, 25367, 0, 0,0,0,0,5
35193732108677, Log, 0.000, 0.002, 0.000, 0.001,  48204,  41232,  10612, 0, 0,0.019, 0,0, 30000,      0, 21519,  10612,      0,     0,     0, 0, 27056, 27056, 0, 0,0,0,0,5
35194733131942, Log, 0.000, 0.001, 0.000, 0.001,  47120,  51134,  18541, 0, 0,0.016, 0,0, 30000,   4961, 23289,  18541,  19843,     0,     0, 0, 28826, 28826, 0, 0,0,0,0,5
35195734126723, Log, 0.000, 0.002, 0.000, 0.000,  51358,  40749,  11093, 0, 0,0.010, 0,0, 30000,      0, 24842,  11093,      0,     0,     0, 0, 30379, 30379, 0, 0,0,0,0,5
35196735235331, Log, 0.000, 0.002, 0.000, 0.001,  51226,  41405,  15722, 0, 0,0.014, 0,0, 30000,   4386, 26553,  15722,  17546,     0,     0, 0, 32090, 32090, 0, 0,0,0,0,5
35197736166408, Log, 0.000, 0.001, 0.000, 0.001,  41652,  29940,   6956, 0, 0,0.012, 0,0, 30000,   3444, 27271,   6956,  13774,     0,     0, 0, 32808, 32808, 0, 0,0,0,0,5
35198737231720, Log, 0.000, 0.002, 0.000, 0.001,  40998,  39315,   9876, 0, 0,0.014, 0,0, 30000,   4064, 28496,   9876,      0,     0,     0, 0, 34033, 34033, 0, 0,0,0,0,5
35199738108855, Log, 0.000, 0.002, 0.000, 0.001,  39598,  39585,   6192, 0, 0,0.000, 86111,65, 30000,   4605, 29463,   6192,      0,     0,     0, 0, 34935, 34930, 5, 0,0,0,0,5
35200739278129, Log, 0.000, 0.002, 0.000, 0.001,  42846,  43778,   8898, 0, 0,0.011, 0,0, 30000,  14018, 30562,   8898,      0,     0,     0, 0, 36099, 36099, 0, 0,0,0,0,5
35201740477033, Log, 0.000, 0.001, 0.000, 0.001,  44174,  41449,  13534, 0, 0,0.010, 0,0, 30000,  14158, 31543,  13534,      0,     0,     0, 0, 37080, 37080, 0, 0,0,0,0,5
